sample_id,variety,vendor,test_type,result_value,result_unit,status,sample_date,technician,lot_number
SMP-0031,SYN-303,BioSeed QA,Vigor,57.01,%,FAIL,2024-04-03,A. Patel,LOT-2235
SMP-0173,SYN-404,CropVerify LLC,Vigor,86.48,%,PASS,2024-06-09,M. Torres,LOT-7132
SMP-0085,SYN-505,BioSeed QA,Germination,83.15,%,PASS,2024-06-08,R. Kim,LOT-4249
SMP-0200,SYN-101,AgriTest Labs,Germination,62.28,%,FAIL,2024-05-26,R. Kim,LOT-8581
SMP-0061,SYN-202,CropVerify LLC,Moisture,10.52,%,PASS,2024-07-13,R. Kim,LOT-9977
SMP-0156,SYN-505,BioSeed QA,Moisture,10.33,%,PASS,2024-07-08,A. Patel,LOT-7797
SMP-0046,SYN-101,BioSeed QA,Vigor,62.56,%,PASS,2024-01-27,M. Torres,LOT-1722
SMP-0183,SYN-505,AgriTest Labs,Purity,98.61,%,,2024-10-17,J. Smith,LOT-3549
SMP-0010,SYN-101,SeedCheck Inc,Moisture,12.02,%,PASS,2024-12-25,A. Patel,LOT-3677
SMP-0197,SYN-404,BioSeed QA,Germination,67.09,%,PASS,,R. Kim,LOT-6295
SMP-0137,SYN-404,AgriTest Labs,Purity,99.99,%,PASS,2024-02-16,J. Smith,LOT-8269
SMP-0188,SYN-303,CropVerify LLC,Moisture,12.6,%,PASS,2024-05-10,J. Smith,LOT-1126
SMP-0005,SYN-101,AgriTest Labs,Moisture,9.29,%,PASS,2024-06-21,R. Kim,LOT-2584
SMP-0127,SYN-202,SeedCheck Inc,Vigor,77.56,%,PASS,2024-07-15,J. Smith,LOT-5526
SMP-0016,SYN-404,,Germination,66.11,%,PASS,2024-03-22,R. Kim,LOT-7252
SMP-0074,SYN-505,BioSeed QA,Germination,76.59,%,PASS,2024-06-18,R. Kim,LOT-2020
SMP-0166,SYN-505,AgriTest Labs,Vigor,-4.31,%,,2024-09-19,R. Kim,LOT-9254
SMP-0019,SYN-505,SeedCheck Inc,Vigor,50.16,%,FAIL,2024-05-14,J. Smith,LOT-5889
SMP-0169,SYN-505,SeedCheck Inc,Germination,95.97,%,PASS,2024-06-13,J. Smith,LOT-3067
SMP-0094,SYN-101,SeedCheck Inc,Disease Screening,0.05,%,FAIL,2024-04-07,R. Kim,
SMP-0076,SYN-404,BioSeed QA,Germination,97.71,%,PASS,N/A,A. Patel,LOT-8999
SMP-0056,SYN-202,CropVerify LLC,Germination,95.08,%,PASS,2024-05-13,J. Smith,LOT-2776
SMP-0148,SYN-202,SeedCheck Inc,Purity,96.63,%,PASS,2024-07-31,A. Patel,LOT-9837
SMP-0110,SYN-303,AgriTest Labs,Vigor,84.47,%,PASS,2024-08-28,A. Patel,LOT-5720
SMP-0109,SYN-101,SeedCheck Inc,Moisture,9.44,%,PASS,2024-10-09,J. Smith,LOT-7693
SMP-0143,SYN-303,SeedCheck Inc,Vigor,84.52,%,PASS,2024-08-21,R. Kim,LOT-8916
SMP-0026,SYN-202,AgriTest Labs,Germination,88.31,%,PASS,2024-01-31,J. Smith,LOT-6413
SMP-0126,SYN-404,BioSeed QA,Purity,97.54,%,PASS,2024-05-19,R. Kim,LOT-4993
SMP-0017,SYN-303,AgriTest Labs,Disease Screening,4.98,%,PASS,2024-09-27,J. Smith,LOT-9797
SMP-0174,SYN-101,AgriTest Labs,Moisture,113.47,%,PASS,2024-08-30,J. Smith,LOT-2527
SMP-0193,SYN-202,BioSeed QA,Germination,77.47,%,PASS,2024-02-24,R. Kim,LOT-9584
SMP-0070,SYN-404,SeedCheck Inc,Vigor,91.53,%,PASS,2024-10-07,R. Kim,LOT-8373
SMP-0102,SYN-303,SeedCheck Inc,Germination,98.97,%,PASS,2024-10-10,R. Kim,LOT-2680
SMP-0068,SYN-505,BioSeed QA,Moisture,12.82,%,PASS,2024-12-22,J. Smith,LOT-5082
SMP-0105,SYN-101,SeedCheck Inc,Germination,-1.68,%,PASS,2024-12-17,A. Patel,LOT-5978
SMP-0133,SYN-303,AgriTest Labs,Germination,65.05,%,FAIL,2024-10-29,R. Kim,LOT-2633
SMP-0181,SYN-101,SeedCheck Inc,Moisture,11.4,%,PASS,2024-07-24,J. Smith,LOT-2503
SMP-0096,SYN-202,CropVerify LLC,Germination,71.77,%,PASS,2024-07-26,M. Torres,
SMP-0083,SYN-202,,Germination,84.85,%,PASS,2024-05-02,J. Smith,LOT-4571
SMP-0160,SYN-101,AgriTest Labs,Moisture,11.85,%,PASS,2024-11-01,M. Torres,LOT-4990
SMP-0198,SYN-404,BioSeed QA,Purity,95.75,%,PASS,2024-02-04,M. Torres,LOT-5500
SMP-0163,SYN-101,AgriTest Labs,Disease Screening,1.25,%,PASS,2024-03-30,A. Patel,LOT-1243
SMP-0151,SYN-101,CropVerify LLC,Disease Screening,1.83,%,PASS,2024-07-21,J. Smith,LOT-8451
SMP-0097,SYN-505,CropVerify LLC,Disease Screening,2.65,%,PASS,2024-08-05,M. Torres,LOT-8434
SMP-0059,SYN-505,CropVerify LLC,Germination,97.95,%,PASS,2024-06-18,J. Smith,LOT-5920
SMP-0069,SYN-505,CropVerify LLC,Germination,78.26,%,PASS,2024-08-25,R. Kim,LOT-9270
SMP-0157,SYN-404,CropVerify LLC,Germination,93.35,%,PASS,2024-11-11,J. Smith,
SMP-0087,SYN-505,BioSeed QA,Disease Screening,-1.45,%,PASS,2024-06-26,M. Torres,LOT-2129
SMP-0101,SYN-303,AgriTest Labs,Purity,96.14,%,pending,2024-04-01,A. Patel,LOT-5494
SMP-0039,SYN-101,,Disease Screening,2.97,%,PASS,2024-11-13,M. Torres,LOT-5272
SMP-0025,SYN-101,SeedCheck Inc,Moisture,9.35,%,PASS,2024-06-22,A. Patel,LOT-1117
SMP-0184,SYN-101,CropVerify LLC,Moisture,12.53,%,PASS,2024-01-26,R. Kim,LOT-7947
SMP-0118,SYN-303,BioSeed QA,Vigor,98.45,%,PASS,2024-08-28,M. Torres,LOT-6260
SMP-0030,SYN-202,SeedCheck Inc,Purity,99.0,%,PASS,2024-02-25,A. Patel,LOT-9786
SMP-0020,SYN-303,SeedCheck Inc,Disease Screening,3.04,%,PASS,March 2024,J. Smith,LOT-6310
SMP-0136,SYN-404,AgriTest Labs,Disease Screening,1.9,%,PASS,2024-06-11,J. Smith,LOT-4846
SMP-0140,SYN-505,SeedCheck Inc,Moisture,8.47,%,FAIL,2024-07-14,R. Kim,LOT-3344
SMP-0067,SYN-101,AgriTest Labs,Vigor,69.98,%,PASS,2024-03-16,R. Kim,LOT-4585
SMP-0066,SYN-404,BioSeed QA,Disease Screening,4.25,%,PASS,2024-02-07,A. Patel,LOT-7291
SMP-0006,SYN-303,AgriTest Labs,Purity,99.24,%,PASS,2024-11-05,R. Kim,LOT-9785
SMP-0147,SYN-101,CropVerify LLC,Germination,,%,PASS,2024-08-13,A. Patel,LOT-2476
SMP-0057,SYN-404,AgriTest Labs,Disease Screening,2.17,%,PASS,2024-06-09,R. Kim,LOT-4114
SMP-0098,SYN-101,SeedCheck Inc,Purity,96.53,%,PASS,2024-04-28,M. Torres,LOT-2958
SMP-0129,SYN-404,,Disease Screening,2.9,%,PASS,2024-12-03,R. Kim,LOT-9824
SMP-0080,syn101,CropVerify LLC,Vigor,66.37,%, FAIL,2024-08-20,R. Kim,LOT-5558
SMP-0199,SYN-101,CropVerify LLC,Disease Screening,0.28,%,FAIL,2024-09-16,R. Kim,LOT-8404
SMP-0030,SYN-202,SeedCheck Inc,Purity,99.0,%,PASS,2024-02-25,A. Patel,LOT-9786
SMP-0032,SYN-101,AgriTest Labs,Vigor,90.4,%,PASS,2024-10-08,J. Smith,LOT-2528
SMP-0013,SYN-202,BioSeed QA,Disease Screening,4.38,%,PASS,2024-06-10,R. Kim,LOT-8517
SMP-0036,SYN-101,CropVerify LLC,Germination,83.17,%,PASS,,J. Smith,LOT-1821
SMP-0029,SYN-101,AgriTest Labs,Purity,97.12,%,PASS,2024-08-27,J. Smith,LOT-7596
SMP-0043,SYN-505,CropVerify LLC,Purity,96.42,%,PASS,2024-08-12,J. Smith,LOT-5905
SMP-0116,SYN-505,,Moisture,,%,PASS,2024-10-21,M. Torres,LOT-1659
SMP-0099,SYN-202,SeedCheck Inc,Disease Screening,4.75,%,PASS,2024-12-19,A. Patel,LOT-8933
SMP-0144,SYN-303,CropVerify LLC,Germination,69.49,%,Pass ,2024-10-19,M. Torres,LOT-1359
SMP-0052,SYN-303,SeedCheck Inc,Vigor,90.11,%,PASS,2024-05-07,J. Smith,LOT-7267
SMP-0119,SYN-404,BioSeed QA,Germination,94.31,%,PASS,2024-06-17,M. Torres,LOT-7561
SMP-0171,SYN-404,AgriTest Labs,Purity,97.27,%,PASS,2024-11-05,J. Smith,LOT-4522
SMP-0077,SYN-101,BioSeed QA,Moisture,9.64,%,PASS,2024-09-05,M. Torres,LOT-7624
SMP-0042,SYN-202,CropVerify LLC,Disease Screening,1.07,%,PASS,2024-05-15,J. Smith,LOT-5002
SMP-0103,SYN-404,BioSeed QA,Germination,82.96,%,PASS,2024-08-28,M. Torres,LOT-4020
SMP-0079,SYN-404,SeedCheck Inc,Germination,85.71,%,PASS,2024-03-10,J. Smith,LOT-5262
SMP-0125,SYN-404,AgriTest Labs,Germination,68.99,%,PASS,15/03/2024,A. Patel,LOT-9165
SMP-0027,SYN-404,,Germination,80.57,%,PASS,2024-05-22,A. Patel,LOT-8744
SMP-0141,SYN-404,CropVerify LLC,Moisture,10.77,%,PASS,2024-05-10,J. Smith,LOT-8622
SMP-0179,SYN-505,AgriTest Labs,Vigor,92.26,%,pending,2024-11-14,M. Torres,LOT-1474
SMP-0123,SYN-404,BioSeed QA,Purity,97.75,%,PASS,2024-05-27,J. Smith,LOT-1472
SMP-0003,SYN-505,SeedCheck Inc,Moisture,11.03,%,PASS,2024-01-14,R. Kim,LOT-4611
SMP-0078,SYN-505,AgriTest Labs,Moisture,13.04,%,PASS,2024-03-06,R. Kim,LOT-1444
SMP-0047,N/A,SeedCheck Inc,Germination,73.34,%,PASS,2024-03-07,R. Kim,LOT-8007
SMP-0128,SYN-303,AgriTest Labs,Vigor,66.99,%,PASS,2024-09-16,M. Torres,LOT-5891
SMP-0113,SYN-505,CropVerify LLC,Germination,66.64,%,PASS,2024-06-06,R. Kim,
SMP-0091,SYN-303,BioSeed QA,Purity,99.26,%,PASS,2024-02-14,A. Patel,LOT-8613
SMP-0086,SYN-202,AgriTest Labs,Germination,107.65,%,PASS,2024-11-17,M. Torres,LOT-2983
SMP-0142,SYN-101,BioSeed QA,Purity,,%,PASS,2024-03-21,M. Torres,LOT-5901
SMP-0037,SYN-202,AgriTest Labs,Disease Screening,2.38,%,PASS,2024-09-28,J. Smith,LOT-4044
SMP-0120,SYN-303,CropVerify LLC,Disease Screening,0.18,%,FAIL,2024-02-15,M. Torres,LOT-2899
SMP-0062,SYN-404,CropVerify LLC,Germination,72.15,%,PASS,2024-04-17,R. Kim,LOT-8238
SMP-0023,SYN-303,BioSeed QA,Vigor,97.34,%,PASS,2024-03-25,A. Patel,LOT-9835
SMP-0139,SYN-202,BioSeed QA,Purity,96.87,%,PASS,2024-03-15,A. Patel,LOT-3785
SMP-0112,SYN-202,CropVerify LLC,Vigor,55.74,%,FAIL,2024-04-25,A. Patel,LOT-2169
SMP-0034,SYN-303,BioSeed QA,Moisture,10.27,%,pending,2024-07-18,M. Torres,LOT-7930
SMP-0012,SYN-404,CropVerify LLC,Moisture,12.93,%,PASS,2024-06-10,J. Smith,LOT-4456
SMP-0185,SYN-303,SeedCheck Inc,Vigor,80.35,%,PASS,2024-07-31,J. Smith,LOT-6655
SMP-0168,SYN-404,AgriTest Labs,Germination,99.94,%,Pass ,2024-07-24,R. Kim,LOT-8267
SMP-0007,SYN-101,CropVerify LLC,Germination,98.92,%,PASS,2024-07-12,M. Torres,LOT-4150
SMP-0028,SYN-202,AgriTest Labs,Moisture,12.71,%,PASS,2024-07-27,J. Smith,LOT-8062
SMP-0172,SYN-404,CropVerify LLC,Vigor,72.58,%,PASS,2024-04-26,R. Kim,LOT-7532
SMP-0041,SYN-101,BioSeed QA,Purity,97.29,%,PASS,2024-02-07,J. Smith,
SMP-0145,SYN-101,BioSeed QA,Vigor,63.72,%,PASS,2024-10-16,M. Torres,LOT-4770
